asn,peer_count,provider_count,customer_count,sibling_count
6669,12480,0,2,0
9997,12479,0,3,0
12471,12481,0,1,0
11791,12479,0,3,0
16119,12477,3,2,0
13848,12480,0,2,0
7036,12481,0,1,0
12597,12478,0,4,0
12494,12481,0,1,0
8818,12480,0,2,0
13494,12480,0,2,0
15522,12480,0,2,0
3615,12479,0,3,0
19361,12481,0,1,0
22033,12480,0,2,0
4352,12481,0,1,0
20552,12481,0,1,0
8876,12473,7,2,0
12775,12481,0,1,0
12829,12481,0,1,0
817,12481,0,1,0
3297,12480,0,2,0
3226,12481,0,1,0
12062,12480,0,2,0
11767,12480,1,1,0
13635,12480,0,2,0
17762,12480,0,2,0
3502,12479,0,3,0
9641,12481,0,1,0
16582,12478,3,1,0
16640,12481,0,1,0
10421,12480,0,2,0
14522,12480,0,2,0
6717,12480,0,2,0
16918,12481,0,1,0
13651,12480,1,1,0
20851,12480,0,2,0
6165,12480,0,2,0
11015,12481,0,1,0
3298,12480,0,2,0
12920,12481,0,1,0
22718,12480,0,2,0
22495,12481,0,1,0
18466,12481,0,1,0
16692,12481,0,1,0
17774,12480,0,2,0
12830,12481,0,1,0
2843,12481,0,1,0
11305,12479,0,3,0
9661,12480,0,2,0
3287,12481,0,1,0
16787,12475,0,7,0
2158,12481,0,1,0
19351,12480,0,2,0
13045,12477,2,3,0
16762,12480,0,2,0
9351,12477,1,4,0
16614,12480,0,2,0
3756,12480,0,2,0
18646,12481,0,1,0
18747,12470,7,5,0
18517,12480,0,2,0
13089,12480,0,2,0
16131,12481,0,1,0
4197,12479,1,1,1
4781,12480,0,2,0
14470,12480,1,1,0
17607,12480,0,2,0
5604,12473,0,9,0
5609,12481,0,1,0
21242,12481,0,1,0
21522,12479,0,3,0
20877,12480,0,2,0
9520,12481,0,1,0
4258,12479,1,2,0
18695,12477,1,4,0
22557,12481,0,1,0
8310,12481,0,1,0
8022,12479,0,3,0
7531,12481,0,1,0
16270,12481,0,1,0
9818,12481,0,1,0
15963,12480,0,2,0
15738,12480,1,1,0
11458,12481,0,1,0
10220,12481,0,1,0
13525,12478,0,4,0
15337,12480,0,2,0
19849,12481,0,1,0
6671,12481,0,1,0
20322,12481,0,1,0
16084,12481,0,1,0
19006,12481,0,1,0
14289,12480,0,2,0
7980,12480,1,1,0
16817,12481,0,1,0
12224,12479,0,3,0
9974,12480,0,2,0
12037,12481,0,1,0
12553,12481,0,1,0
10431,12481,0,1,0
13198,12481,0,1,0
20926,12480,0,2,0
15472,12481,0,1,0
3296,12480,0,2,0
17856,12481,0,1,0
10455,12478,0,4,0
22061,12480,0,2,0
10963,12481,0,1,0
16400,12479,0,3,0
15608,12480,0,2,0
8326,12480,0,2,0
8693,12481,0,1,0
10069,12480,0,2,0
18996,12481,0,1,0
11660,12481,0,1,0
12937,12480,0,2,0
21635,12472,3,6,1
10396,12478,2,2,0
17113,12480,0,2,0
22238,12480,0,2,0
18578,12481,0,1,0
5471,12481,0,1,0
14232,12480,0,2,0
21896,12479,0,3,0
19839,12480,0,2,0
7029,12481,0,1,0
17360,12480,0,2,0
13370,12481,0,1,0
6431,12481,0,1,0
21905,12480,0,2,0
16477,12479,0,3,0
8983,12481,0,1,0
14700,12481,0,1,0
65531,12481,0,1,0
19585,12480,0,2,0
15898,12481,0,1,0
13283,12480,0,2,0
10830,12479,1,2,0
11235,12481,0,1,0
19658,12481,0,1,0
3409,12480,0,2,0
9979,12480,0,2,0
16756,12481,0,1,0
11613,12481,0,1,0
14866,12479,0,3,0
11385,12479,0,3,0
11875,12481,0,1,0
22011,12480,0,2,0
22075,12480,0,2,0
8592,12481,0,1,0
16502,12481,0,1,0
14121,12481,0,1,0
11439,12479,0,3,0
22132,12476,0,6,0
4006,12459,14,9,0
10573,12480,0,2,0
14550,12481,0,1,0
7456,12481,0,1,0
17338,12481,0,1,0
13255,12480,0,2,0
8605,12481,0,1,0
11029,12480,0,2,0
13211,12481,0,1,0
14,12480,0,2,0
15715,12480,0,2,0
13615,12479,0,3,0
21246,12480,0,2,0
21414,12478,3,1,0
1692,12481,0,1,0
3344,12472,2,7,1
20717,12480,0,2,0
11857,12480,0,2,0
14492,12478,0,4,0
17847,12481,0,1,0
8306,12480,1,1,0
1887,12476,4,2,0
8304,12476,0,6,0
7931,12480,0,2,0
14626,12480,0,2,0
21201,12480,0,2,0
9746,12481,0,1,0
14164,12481,0,1,0
11260,12479,1,2,0
20186,12481,0,1,0
10756,12481,0,1,0
17719,12480,0,2,0
17111,12480,1,1,0
9989,12479,0,3,0
9321,12479,0,3,0
1545,12481,0,1,0
3699,12479,1,2,0
12368,12479,0,3,0
9100,12480,0,2,0
12450,12481,0,1,0
12709,12481,0,1,0
21980,12481,0,1,0
4043,12480,0,2,0
4536,12481,0,1,0
21628,12481,0,1,0
15498,12480,0,2,0
747,12481,0,1,0
9578,12480,0,2,0
7794,12478,1,3,0
14500,12480,0,2,0
3899,12481,0,1,0
7082,12481,0,1,0
21511,12480,0,2,0
8402,12480,1,1,0
64738,12481,0,1,0
8375,12479,0,3,0
11669,12479,0,3,0
17523,12481,0,1,0
9856,12480,0,2,0
3855,12481,0,1,0
11107,12480,0,2,0
11339,12480,0,2,0
3092,12479,0,3,0
17627,12480,0,2,0
16153,12480,0,2,0
16745,12481,0,1,0
19791,12481,0,1,0
4128,12480,0,2,0
10064,12480,0,2,0
15440,12479,2,1,0
16898,12480,0,2,0
13379,12479,0,3,0
17659,12480,0,2,0
13100,12480,0,2,0
17385,12480,0,2,0
12130,12480,0,2,0
7927,12476,5,1,0
9815,12481,0,1,0
789,12480,0,2,0
12408,12478,1,3,0
10821,12481,0,1,0
5592,12479,1,2,0
17017,12480,0,2,0
2258,12481,0,1,0
13134,12481,0,1,0
12106,12481,0,1,0
4136,12481,0,1,0
6492,12481,0,1,0
20388,12481,0,1,0
13210,12481,0,1,0
17536,12475,4,3,0
4519,12481,0,1,0
11743,12479,0,3,0
13433,12479,0,3,0
16624,12480,0,2,0
18523,12480,0,2,0
14087,12481,0,1,0
19029,12474,4,4,0
14732,12480,0,2,0
1670,12480,0,2,0
17342,12481,0,1,0
9325,12478,3,1,0
12179,12453,22,7,0
10537,12480,0,2,0
400,12480,1,1,0
13914,12479,0,3,0
9576,12480,0,2,0
15542,12481,0,1,0
16771,12481,0,1,0
7986,12481,0,1,0
22082,12480,0,2,0
13534,12480,0,2,0
7125,12481,0,1,0
6448,12477,0,5,0
8320,12481,0,1,0
16166,12481,0,1,0
21174,12481,0,1,0
11342,12480,0,2,0
22796,12481,0,1,0
17991,12481,0,1,0
16938,12480,0,2,0
13213,12480,0,2,0
20506,12481,0,1,0
19084,12480,0,2,0
13171,12481,0,1,0
17432,12481,0,1,0
15956,12481,0,1,0
16152,12480,0,2,0
19724,12480,0,2,0
6355,12479,1,2,0
17403,12481,0,1,0
10912,12433,42,7,0
21130,12480,0,2,0
19722,12480,0,2,0
15660,12479,0,3,0
8257,12480,0,2,0
6730,12398,66,9,9
21138,12480,0,2,0
15330,12481,0,1,0
20638,12481,0,1,0
20016,12480,0,2,0
17278,12480,0,2,0
3112,12474,6,1,1
4927,12478,1,3,0
15235,12481,0,1,0
5422,12475,5,2,0
22458,12480,0,2,0
14859,12481,0,1,0
14870,12479,0,3,0
15471,12481,0,1,0
5615,12476,1,5,0
11320,12481,0,1,0
14547,12479,0,3,0
22208,12481,0,1,0
5561,12479,1,2,0
20503,12481,0,1,0
2033,12479,0,3,0
16876,12480,0,2,0
721,12400,78,3,1
8859,12480,0,1,1
7933,12481,0,1,0
14168,12480,0,2,0
9512,12479,1,2,0
10131,12480,0,2,0
16398,12481,0,1,0
10920,12480,0,2,0
15069,12479,0,3,0
11401,12478,1,3,0
10386,12481,0,1,0
17613,12480,0,2,0
17285,12480,0,2,0
12840,12481,0,1,0
8090,12480,0,2,0
5680,12478,3,1,0
21797,12480,0,2,0
10436,12480,0,2,0
13148,12480,0,2,0
16060,12481,0,1,0
14267,12481,0,1,0
21378,12481,0,1,0
18816,12480,0,2,0
11153,12481,0,1,0
1746,12472,1,9,0
3386,12481,0,1,0
9723,12479,2,1,0
14299,12479,0,3,0
8076,12481,0,1,0
11532,12480,0,2,0
21640,12480,0,2,0
8249,12480,1,1,0
13165,12480,0,2,0
4190,12481,0,1,0
4663,12476,2,4,0
6451,12480,0,2,0
5516,12479,0,3,0
20701,12481,0,1,0
