asn,peer_count,provider_count,customer_count,sibling_count
51067,40019,0,2,0
42395,40018,1,2,0
53640,40020,0,1,0
39689,40019,0,2,0
198179,40020,0,1,0
19242,40019,0,2,0
50181,40020,0,1,0
12061,40020,0,1,0
5056,40000,17,4,0
41113,40019,0,2,0
47599,40019,0,2,0
38648,40019,0,2,0
57199,40020,0,1,0
52352,40020,0,1,0
58379,40020,0,1,0
41738,40017,0,4,0
197339,40020,0,1,0
41393,40018,0,3,0
42776,40019,0,2,0
4150,40015,3,3,0
36766,40020,0,1,0
29202,40019,0,2,0
11092,40019,0,2,0
39122,40018,0,3,0
18980,40019,0,2,0
9297,40018,1,2,0
20366,40017,0,4,0
40748,40020,0,1,0
17403,40019,0,2,0
44738,40020,0,1,0
34271,40020,0,1,0
37346,40020,0,1,0
38139,40020,0,1,0
19916,40017,0,4,0
38786,40020,0,1,0
36412,40016,4,1,0
43461,40020,0,1,0
4823,40020,0,1,0
23947,39971,43,6,1
20676,39977,33,10,1
15007,40020,0,1,0
17006,40020,0,1,0
49719,40019,0,2,0
11826,40019,0,2,0
20257,40018,1,2,0
20563,40019,0,2,0
41011,40017,0,4,0
46043,40020,0,1,0
44511,40020,0,1,0
51510,40020,0,1,0
18763,40020,0,1,0
40838,40020,0,1,0
33550,40020,0,1,0
41301,40020,0,1,0
37401,40020,0,1,0
58418,40020,0,1,0
32628,40020,0,1,0
48906,40020,0,1,0
49043,40020,0,1,0
13641,40020,0,1,0
49341,40020,0,1,0
7958,40020,0,1,0
22785,40019,0,2,0
23299,40019,0,2,0
50642,40020,0,1,0
50921,40020,0,1,0
14572,40020,0,1,0
20436,40019,0,2,0
23277,40019,0,2,0
34085,40020,0,1,0
50522,40019,0,2,0
19263,40020,0,1,0
32921,40019,0,2,0
35356,40020,0,1,0
30849,40020,0,1,0
53863,40020,0,1,0
26104,40019,0,2,0
55832,40018,1,2,0
13953,40020,0,1,0
4844,40019,0,2,0
29930,40015,4,2,0
33569,40017,1,3,0
17638,40013,7,1,0
35938,40020,0,1,0
21197,40020,0,1,0
14007,40017,1,3,0
38447,40020,0,1,0
15689,40020,0,1,0
22860,40019,0,2,0
35411,40019,0,2,0
17889,40019,0,2,0
44735,40017,1,3,0
44751,40020,0,1,0
35259,40018,0,3,0
41455,40020,0,1,0
28307,40019,0,2,0
39608,40017,1,3,0
34531,40019,0,2,0
17079,40019,0,2,0
20826,40020,0,1,0
39251,40013,5,3,0
48036,40019,0,2,0
51654,40019,0,2,0
57486,40020,0,1,0
12220,40018,0,3,0
6461,39240,758,18,5
15162,40019,0,2,0
9555,40019,0,2,0
26483,40020,0,1,0
30603,40019,0,2,0
42955,40019,0,2,0
44440,40019,0,2,0
15308,40020,0,1,0
40905,40020,0,1,0
18493,40019,0,2,0
47304,40020,0,1,0
20261,40019,0,2,0
14846,40020,0,1,0
393220,40019,1,1,0
32259,40019,0,2,0
27520,40019,0,2,0
31670,40020,0,1,0
56117,40020,0,1,0
27715,40015,3,3,0
48435,40020,0,1,0
20102,40020,0,1,0
47448,40019,0,2,0
29203,40020,0,1,0
57526,40020,0,1,0
26820,40020,0,1,0
7651,40018,0,3,0
45693,40020,0,1,0
20321,40019,0,2,0
11908,40020,0,1,0
55422,40019,0,2,0
48262,40019,1,1,0
46927,40020,0,1,0
28994,40011,8,2,0
38159,40020,0,1,0
27580,40020,0,1,0
197688,40020,0,1,0
18278,40018,0,3,0
197358,40020,0,1,0
35292,40020,0,1,0
53527,40020,0,1,0
14654,40019,0,2,0
11336,40018,0,3,0
34033,40019,1,1,0
198219,40020,0,1,0
197805,40020,0,1,0
13070,40020,0,1,0
30539,40016,1,4,0
17710,40018,0,3,0
35272,40020,0,1,0
46850,40019,0,2,0
21650,40016,0,5,0
46408,40017,0,4,0
32534,40020,0,1,0
49947,40020,0,1,0
10190,40019,0,2,0
42487,40019,0,2,0
47077,40020,0,1,0
17875,40020,0,1,0
21876,40020,0,1,0
262747,40019,0,2,0
13652,40019,0,2,0
1453,40020,0,1,0
26928,40019,0,2,0
29671,40017,0,4,0
34977,40017,2,2,0
45764,40020,0,1,0
32908,40018,0,3,0
39453,40019,0,2,0
17409,40019,1,1,0
22379,40019,0,2,0
33223,40019,0,2,0
13250,40015,0,6,0
23836,40020,0,1,0
14133,40009,9,2,1
22592,40019,0,2,0
53705,40019,0,2,0
23037,40020,0,1,0
25801,40020,0,1,0
12173,40018,0,3,0
50605,40020,0,1,0
17144,40016,1,4,0
13208,40016,1,4,0
31630,40020,0,1,0
52061,40020,0,1,0
25321,40020,0,1,0
17305,40019,0,1,1
9661,40019,0,2,0
65520,40021,0,0,0
35989,40019,0,2,0
10865,40020,0,1,0
27899,40020,0,1,0
16629,40010,10,1,0
131790,40020,0,1,0
15324,40020,0,1,0
18663,40020,0,1,0
57260,40019,0,2,0
49555,40019,0,2,0
11742,40020,0,1,0
46249,40019,0,2,0
32859,40019,0,2,0
23772,40018,0,3,0
43683,40017,0,4,0
19302,40019,0,2,0
12120,40019,0,2,0
23495,40018,0,3,0
32331,40019,0,2,0
29445,40019,0,2,0
50259,40020,0,1,0
53646,40019,0,2,0
46347,40020,0,1,0
18931,40020,0,1,0
42518,40018,0,3,0
28978,40018,0,3,0
131452,40019,0,2,0
5264,40020,0,1,0
25936,40020,0,1,0
36002,40020,0,1,0
12073,40019,0,2,0
22793,40019,0,2,0
29042,40019,0,2,0
32244,40016,0,5,0
38027,40019,0,2,0
8203,40020,0,1,0
48057,40017,2,2,0
18081,40019,1,1,0
12388,40019,0,2,0
42986,40019,0,2,0
14583,40020,0,1,0
40096,40020,0,1,0
1702,40019,0,2,0
13924,40019,0,2,0
7407,40020,0,1,0
43932,40019,0,2,0
9756,40020,0,1,0
262510,40020,0,1,0
196628,40020,0,1,0
8767,39964,47,10,0
13713,40019,0,2,0
31278,40019,0,2,0
15664,40019,0,2,0
197432,40020,0,1,0
20539,40014,5,2,0
30504,40019,0,2,0
36808,40020,0,1,0
40088,40019,0,2,0
15942,40020,0,1,0
54052,40019,0,2,0
11876,40020,0,1,0
41854,40016,3,2,0
19993,40018,0,3,0
51195,40019,0,2,0
31871,40020,0,1,0
48677,40020,0,1,0
18001,40016,0,5,0
49071,40019,0,2,0
27164,40019,0,2,0
26023,40019,0,2,0
34489,40019,0,2,0
31081,40020,0,1,0
44917,40019,0,2,0
44784,40020,0,1,0
12005,40017,0,4,0
55821,40019,0,2,0
30674,40016,0,5,0
48758,40020,0,1,0
50945,40019,0,2,0
37130,40020,0,1,0
50689,40019,0,2,0
47288,40020,0,1,0
57634,40020,0,1,0
20398,40020,0,1,0
46105,40019,0,2,0
47016,40018,0,3,0
34810,40020,0,1,0
25576,40019,0,2,0
53199,40019,0,2,0
38125,40018,0,3,0
57005,40020,0,1,0
39128,40019,0,2,0
31836,40018,0,3,0
33430,40017,0,4,0
27226,40019,0,2,0
43766,40019,0,2,0
22978,40019,0,2,0
3696,40020,0,1,0
31242,39980,32,9,0
6820,40015,2,4,0
19596,40018,0,3,0
53472,40018,0,3,0
30440,40018,0,3,0
47030,40020,0,1,0
43514,40019,0,2,0
51535,40019,0,2,0
51046,40020,0,1,0
18639,40020,0,1,0
50300,39534,478,0,9
57308,40019,0,2,0
23783,40019,0,2,0
196987,40019,0,2,0
19791,40020,0,1,0
51999,40018,0,2,1
1215,40019,0,2,0
42806,40020,0,1,0
48532,40020,0,1,0
37203,40020,0,1,0
18611,40019,0,2,0
31877,40008,8,5,0
53853,40020,0,1,0
48837,40019,0,2,0
36374,40018,1,2,0
196874,40019,0,2,0
16585,40019,0,2,0
3314,40020,0,1,0
58428,40020,0,1,0
23054,40019,1,1,0
23518,40015,3,3,0
197045,40019,0,2,0
53578,40020,0,1,0
33361,40016,1,4,0
11949,40019,0,2,0
43521,40020,0,1,0
44798,40020,0,1,0
11127,40015,1,5,0
15897,40019,0,2,0
4894,40019,0,2,0
57191,40020,0,1,0
19739,40019,0,2,0
4788,39955,44,22,0
10668,40019,0,2,0
35379,40020,0,1,0
17654,40019,0,2,0
46257,40020,0,1,0
42643,40017,2,2,0
22910,40018,0,3,0
50696,40020,0,1,0
10137,40020,0,1,0
37088,40019,1,1,0
8221,40020,0,1,0
22974,40020,0,1,0
25269,40019,0,2,0
40254,40020,0,1,0
197211,40020,0,1,0
16533,40020,0,1,0
10846,40019,0,2,0
30392,40018,0,3,0
