asn,peer_count,provider_count,customer_count,sibling_count
6893,1857,0,1,0
5491,1857,0,1,0
8331,1857,0,1,0
5713,1855,2,1,0
65178,1856,1,1,0
393220,1856,0,2,0
38915,1857,0,1,0
15703,1857,0,1,0
12414,1854,0,4,0
20932,1854,0,4,0
30971,1856,0,2,0
11317,1855,2,1,0
43655,1857,0,1,0
36472,1857,0,1,0
4691,1857,0,1,0
7671,1857,0,1,0
35819,1856,1,1,0
2609,1857,0,1,0
28824,1857,0,1,0
38299,1857,0,1,0
34245,1857,0,1,0
41323,1857,0,1,0
2907,1855,0,3,0
2607,1853,2,3,0
786,1856,0,2,0
29744,1857,0,1,0
15226,1856,0,2,0
8954,1855,0,3,0
6770,1855,1,2,0
513,1855,0,3,0
13238,1857,0,1,0
25795,1857,0,1,0
20308,1857,0,1,0
41705,1857,0,1,0
43930,1857,0,1,0
2614,1857,0,1,0
5401,1857,0,1,0
6656,1855,0,3,0
10764,1856,1,1,0
35339,1856,0,2,0
4555,1856,0,2,0
8970,1857,0,1,0
12611,1854,0,4,0
3212,1857,0,1,0
43821,1856,0,2,0
8781,1856,0,2,0
35425,1855,0,3,0
21844,1855,0,3,0
7385,1854,2,2,0
8844,1856,0,2,0
47917,1857,0,1,0
20597,1857,0,1,0
8501,1845,11,2,0
20626,1857,0,1,0
20381,1856,0,2,0
32346,1857,0,1,0
9924,1857,0,1,0
29076,1854,2,2,0
2852,1855,1,2,0
23637,1857,0,1,0
1880,1855,1,2,0
1998,1857,0,1,0
2895,1856,0,2,0
18084,1852,4,2,0
41176,1857,0,1,0
9354,1857,0,1,0
55,1857,0,1,0
48173,1857,0,1,0
9583,1856,0,2,0
7657,1857,0,1,0
18007,1856,1,1,0
4800,1857,0,1,0
10105,1857,0,1,0
44358,1856,0,2,0
30176,1857,0,1,0
27807,1855,2,1,0
8002,1857,0,1,0
9406,1857,0,1,0
12287,1857,0,1,0
3209,1855,1,2,0
45576,1857,0,1,0
12381,1857,0,1,0
36383,1857,0,1,0
81,1856,0,2,0
16668,1856,0,2,0
44683,1856,0,2,0
25223,1857,0,1,0
10533,1855,1,2,0
38082,1852,4,2,0
27686,1857,0,1,0
6734,1857,0,1,0
12188,1856,0,2,0
17705,1857,0,1,0
376,1854,1,3,0
12638,1856,0,2,0
31677,1856,0,2,0
6057,1855,2,1,0
29243,1857,0,1,0
8784,1857,0,1,0
9584,1857,0,1,0
15456,1857,0,1,0
17529,1856,0,2,0
7078,1856,0,2,0
8778,1857,0,1,0
24785,1840,14,4,0
35703,1857,0,1,0
553,1856,0,2,0
20473,1855,0,3,0
49334,1857,0,1,0
48417,1857,0,1,0
14907,1856,0,2,0
44706,1855,1,2,0
25466,1853,1,4,0
24211,1857,0,1,0
12389,1855,0,3,0
13680,1853,2,3,0
14080,1856,1,1,0
16397,1856,0,2,0
40832,1857,0,1,0
41887,1857,0,1,0
24348,1856,1,1,0
3352,1857,0,1,0
33789,1856,1,1,0
9031,1856,0,2,0
38040,1856,1,1,0
2152,1856,0,1,1
12709,1857,0,1,0
10429,1857,0,1,0
29017,1856,0,2,0
7065,1856,0,2,0
21159,1856,0,2,0
15189,1856,1,1,0
39029,1856,0,2,0
10015,1857,0,1,0
36384,1857,0,1,0
20570,1857,0,1,0
22192,1857,0,1,0
16117,1857,0,1,0
25689,1857,0,1,0
38610,1848,9,1,0
9153,1854,1,3,0
5078,1857,0,1,0
8758,1855,1,2,0
8676,1857,0,1,0
8262,1857,0,1,0
49630,1857,0,1,0
8681,1856,0,2,0
22356,1857,0,1,0
8075,1856,0,2,0
34183,1857,0,1,0
33885,1854,1,3,0
7615,1857,0,1,0
12374,1857,0,1,0
12129,1856,1,1,0
19384,1857,0,1,0
7473,1844,11,3,0
1955,1856,1,1,0
24730,1857,0,1,0
46722,1857,0,1,0
15479,1857,0,1,0
18422,1857,0,1,0
31400,1856,1,1,0
15782,1856,0,2,0
45437,1857,0,1,0
9911,1857,0,1,0
4755,1855,2,1,0
3856,1856,0,2,0
13284,1854,2,2,0
36692,1857,0,1,0
47447,1855,0,3,0
9044,1855,0,3,0
2484,1857,0,1,0
3301,1854,3,1,0
23342,1856,1,1,0
6181,1857,0,1,0
12605,1857,0,1,0
2055,1857,0,1,0
24390,1857,0,1,0
39301,1856,0,2,0
7602,1857,0,1,0
34123,1855,1,2,0
6106,1857,0,1,0
15436,1857,0,1,0
50195,1857,0,1,0
24490,1851,4,2,1
11960,1855,2,1,0
22652,1857,0,1,0
1237,1854,3,1,0
6175,1799,53,5,1
6453,1797,56,1,4
2495,1857,0,1,0
559,1852,3,3,0
1836,1855,0,3,0
12502,1856,0,2,0
29789,1857,0,1,0
6128,1856,0,2,0
4717,1856,0,2,0
4657,1856,0,2,0
12452,1856,0,2,0
14868,1857,0,1,0
21527,1857,0,1,0
8469,1853,1,4,0
