asn,peer_count,provider_count,customer_count,sibling_count
32016,7902,0,1,0
12591,7902,0,1,0
60842,7902,0,1,0
47205,7902,0,1,0
263102,7902,0,1,0
26554,7901,0,2,0
14745,7889,8,6,0
16796,7902,0,1,0
40009,7900,0,3,0
5089,7902,0,1,0
18015,7900,1,2,0
197185,7902,0,1,0
4891,7902,0,1,0
45731,7901,0,2,0
52958,7902,0,1,0
5607,7898,0,5,0
15709,7902,0,1,0
1645,7902,0,1,0
45528,7900,1,2,0
25273,7901,0,2,0
20707,7900,1,2,0
6368,7901,0,2,0
24199,7902,0,1,0
9103,7902,0,1,0
59533,7902,0,1,0
22452,7902,0,1,0
8781,7895,1,7,0
39984,7901,0,2,0
53692,7901,1,1,0
28068,7901,0,2,0
4230,7891,8,4,0
53363,7902,0,1,0
34878,7901,0,2,0
43203,7902,0,1,0
196845,7902,0,1,0
34510,7901,0,2,0
56178,7902,0,1,0
132588,7902,0,1,0
6262,7902,0,1,0
56173,7902,0,1,0
42789,7902,0,1,0
13307,7902,0,1,0
44334,7902,0,1,0
12930,7902,0,1,0
199511,7900,0,3,0
52102,7901,0,2,0
39870,7901,0,2,0
27413,7901,0,2,0
198335,7899,0,4,0
32980,7901,0,2,0
31621,7900,0,3,0
25318,7901,0,2,0
33920,7898,2,3,0
5723,7900,0,3,0
12668,7900,1,2,0
198485,7901,0,2,0
37312,7902,0,1,0
3807,7899,1,3,0
42065,7902,0,1,0
237,7899,2,2,0
41052,7901,0,2,0
6738,7902,0,1,0
36003,7902,0,1,0
25460,7900,2,1,0
60703,7902,0,1,0
57146,7901,0,2,0
50480,7901,0,2,0
131323,7902,0,1,0
38149,7901,0,2,0
21124,7902,0,1,0
6059,7901,0,2,0
5507,7901,1,1,0
198904,7901,0,2,0
1257,7866,25,11,1
29355,7902,0,1,0
4436,7835,61,7,0
48218,7902,0,1,0
20653,7901,0,2,0
36522,7901,0,2,0
25182,7896,0,7,0
34928,7900,0,3,0
10466,7898,3,2,0
20139,7902,0,1,0
11835,7898,4,1,0
57353,7901,0,2,0
36989,7901,0,2,0
35130,7902,0,1,0
12975,7902,0,1,0
