asn,peer_count,provider_count,customer_count,sibling_count
58505,43262,0,1,0
61413,43261,0,2,0
40695,43260,0,3,0
11841,43255,1,7,0
132296,43262,0,1,0
46438,43261,0,2,0
3549,41864,1358,2,39
56749,43261,0,2,0
197260,43261,0,2,0
57530,43261,0,2,0
26896,43262,0,1,0
16730,43261,0,2,0
57251,43262,0,1,0
17988,43260,0,3,0
7670,43241,17,5,0
54717,43261,0,2,0
41584,43261,0,2,0
36750,43261,0,2,0
34248,43259,2,2,0
35378,43259,0,4,0
51853,43261,0,2,0
262448,43262,0,1,0
13496,43261,0,2,0
47467,43260,0,3,0
47302,43259,0,4,0
26712,43262,0,1,0
31256,43262,0,1,0
36093,43262,0,1,0
12505,43262,0,1,0
719,43223,39,1,0
45406,43261,0,2,0
16279,43261,0,2,0
12516,43260,0,3,0
12731,43241,10,12,0
35083,43262,0,1,0
44889,43238,22,2,1
29221,43262,0,1,0
198863,43261,0,2,0
20196,43261,0,2,0
11509,43258,1,4,0
199059,43262,0,1,0
3592,43261,0,2,0
30659,43261,0,2,0
40868,43262,0,1,0
41322,43262,0,1,0
43852,43249,2,11,1
18557,43262,0,1,0
55844,43261,0,2,0
31882,43261,0,2,0
22211,43262,0,1,0
11239,43261,0,2,0
46465,43262,0,1,0
19254,43261,0,2,0
13008,43259,0,4,0
20865,43262,0,1,0
15600,43248,6,9,0
4205,43261,0,1,1
36213,43261,0,2,0
7922,43122,127,14,0
13688,43261,0,2,0
198801,43262,0,1,0
262598,43262,0,1,0
31969,43261,0,2,0
20132,43259,0,4,0
50259,43262,0,1,0
35234,43261,0,2,0
262666,43262,0,1,0
49158,43262,0,1,0
57579,43261,0,2,0
16282,43262,0,1,0
36499,43262,0,1,0
3800,43259,0,4,0
49167,43261,0,2,0
36421,43261,0,2,0
10367,43257,4,2,0
48344,43258,0,5,0
39020,43257,1,5,0
40346,43262,0,1,0
22153,43259,1,3,0
40050,43261,0,2,0
9590,43259,0,4,0
48126,43262,0,1,0
6805,43226,21,16,0
22652,43187,71,0,5
52814,43262,0,1,0
53125,43262,0,1,0
11397,43262,0,1,0
27463,43262,0,1,0
25267,43262,0,1,0
17071,43261,0,2,0
12021,43255,4,4,0
32505,43261,0,2,0
61320,43261,0,2,0
32854,43262,0,1,0
20030,43262,0,1,0
27020,43261,0,2,0
35491,43260,1,2,0
47663,43261,0,2,0
24245,43251,7,5,0
43770,43262,0,1,0
54078,43262,0,1,0
44172,43260,0,3,0
13039,43260,0,3,0
18260,43259,1,3,0
33861,43262,0,1,0
48772,43261,0,2,0
53464,43262,0,1,0
13676,43261,0,2,0
56548,43261,0,2,0
36841,43261,1,1,0
58742,43262,0,1,0
41609,43261,0,2,0
14446,43261,0,2,0
8430,43262,0,1,0
25521,43261,1,1,0
38895,43258,0,5,0
18890,43261,0,2,0
26713,43261,0,2,0
27949,43261,0,2,0
9498,42946,285,28,4
17633,43260,2,1,0
197844,43262,0,1,0
50833,43262,0,1,0
55468,43260,0,3,0
10156,43261,0,2,0
14098,43262,0,1,0
24894,43261,0,2,0
28881,43254,6,3,0
25186,43262,0,1,0
34999,43260,0,3,0
55461,43261,1,1,0
46000,43261,0,2,0
12649,43261,0,2,0
262301,43262,0,1,0
54529,43261,0,2,0
31243,43259,0,4,0
57937,43261,0,2,0
50538,43261,0,2,0
11807,43261,0,2,0
43887,43262,0,1,0
44948,43261,0,2,0
20204,43262,0,1,0
40288,43261,0,2,0
49461,43262,0,1,0
20298,43262,0,1,0
48264,43261,0,2,0
61364,43262,0,1,0
30157,43260,0,3,0
16016,43238,21,4,0
197616,43260,0,3,0
51410,43262,0,1,0
54650,43261,0,2,0
35256,43259,0,4,0
40669,43258,0,5,0
17873,43261,0,2,0
16645,43260,0,3,0
34009,43261,0,2,0
15740,43262,0,1,0
54559,43261,0,2,0
29319,43256,5,2,0
35968,43261,0,2,0
35207,43260,0,3,0
43857,43261,0,2,0
22432,43262,0,1,0
58272,43262,0,1,0
39785,43256,5,1,1
52855,43262,0,1,0
46112,43262,0,1,0
52119,43262,0,1,0
23641,43259,2,2,0
25833,43262,0,1,0
42091,43262,0,1,0
12491,43244,15,4,0
47005,43262,0,1,0
54230,43261,0,2,0
17451,43224,21,18,0
5409,43253,1,9,0
43873,43262,0,1,0
14237,43260,1,2,0
53076,43261,0,2,0
18006,43262,0,1,0
25164,43261,0,2,0
7915,43261,0,2,0
49140,43262,0,1,0
40002,43261,0,2,0
1569,43257,4,2,0
262645,43261,0,2,0
15858,43262,0,1,0
48587,43262,0,1,0
262446,43259,1,3,0
46046,43262,0,1,0
12983,43262,0,1,0
37293,43262,0,1,0
52393,43261,0,2,0
36522,43261,0,2,0
51732,43262,0,1,0
48821,43262,0,1,0
56404,43261,0,2,0
56510,43262,0,1,0
198140,43261,0,2,0
27860,43261,0,2,0
198518,43262,0,1,0
48437,43262,0,1,0
56861,43261,0,2,0
6810,43262,0,1,0
29987,43261,0,2,0
54749,43262,0,1,0
38586,43261,0,2,0
15142,43261,0,2,0
35229,43262,0,1,0
49129,43261,0,2,0
20588,43262,0,1,0
262298,43262,0,1,0
17412,43262,0,1,0
36436,43258,2,3,0
12906,43261,0,2,0
27732,43262,0,1,0
