asn,peer_count,provider_count,customer_count,sibling_count
200172,46113,0,1,0
44423,46113,0,1,0
34176,46112,0,2,0
41103,46110,0,4,0
48096,46110,1,3,0
56049,46111,0,3,0
54242,46112,0,2,0
11414,46109,0,5,0
29995,46112,0,2,0
42707,46111,0,3,0
29462,46108,0,6,0
33143,46113,0,1,0
40727,46112,0,2,0
31736,46107,2,5,0
199208,46112,0,2,0
198571,46111,1,2,0
31206,46113,0,1,0
30338,46113,0,1,0
17837,46112,0,2,0
16931,46112,0,2,0
14271,46112,1,1,0
197185,46113,0,1,0
40042,46112,0,2,0
9579,46112,0,2,0
54143,46113,0,1,0
4021,46111,0,3,0
37187,46106,4,4,0
53622,46113,0,1,0
32284,46113,0,1,0
14791,46113,0,1,0
1733,46094,17,2,1
33556,46113,0,1,0
47663,46113,0,1,0
29494,46112,0,2,0
16434,46113,0,1,0
35184,46112,0,2,0
41016,46113,0,1,0
34450,46111,1,2,0
34007,46112,0,2,0
56255,46112,0,2,0
23728,46111,0,3,0
12701,46101,0,13,0
198018,46111,0,3,0
20211,46113,0,1,0
46071,46113,0,1,0
42676,46112,0,2,0
29674,46111,1,2,0
132145,46113,0,1,0
11864,46113,0,1,0
60689,46113,0,1,0
7221,46113,0,1,0
48575,46112,0,2,0
58517,46113,0,1,0
60720,46111,0,3,0
22218,46112,0,2,0
29597,46113,0,1,0
38431,46113,0,1,0
196710,46113,0,1,0
13971,46110,0,4,0
41363,46110,2,2,0
7191,46113,0,1,0
52654,46112,1,1,0
14415,46112,0,2,0
18553,46113,0,1,0
27747,46110,1,3,0
220,46113,0,1,0
13393,46113,0,1,0
39354,46110,1,3,0
5548,46112,0,2,0
132872,46113,0,1,0
26189,46113,0,1,0
53776,46113,0,1,0
198957,46113,0,1,0
17420,46112,0,2,0
11759,46113,0,1,0
21982,46111,0,3,0
30187,46112,0,2,0
26371,46113,0,1,0
36335,46112,0,2,0
43461,46112,0,2,0
16481,46112,0,2,0
16850,46113,0,1,0
