asn,peer_count,provider_count,customer_count,sibling_count
19226,24220,0,2,0
25906,24221,0,1,0
22344,24220,0,2,0
3269,24167,52,3,0
24448,24220,0,2,0
26796,24221,0,1,0
26496,24217,0,5,0
7533,24218,2,2,0
11231,24221,0,1,0
27169,24220,0,2,0
24951,24217,2,3,0
15080,24221,0,1,0
39967,24220,0,2,0
35600,24219,0,3,0
34469,24221,0,1,0
3093,24220,0,2,0
9968,24220,0,2,0
29915,24221,0,1,0
36221,24220,0,2,0
30863,24220,1,1,0
9071,24220,0,2,0
20841,24220,0,2,0
3758,24192,28,2,0
39040,24220,0,2,0
22453,24221,0,1,0
26146,24220,0,2,0
24265,24220,0,2,0
27227,24221,0,1,0
34509,24220,0,2,0
29410,24219,0,3,0
22390,24220,0,2,0
29012,24220,0,2,0
12482,24221,0,1,0
6735,24214,4,4,0
28508,24221,0,1,0
19171,24219,0,3,0
9944,24221,0,1,0
15338,24221,0,1,0
38055,24221,0,1,0
39475,24219,0,3,0
2861,24220,1,1,0
16143,24219,0,3,0
29542,24219,0,3,0
27306,24221,0,1,0
9033,24221,0,1,0
6595,24221,0,1,0
19421,24220,0,2,0
9697,24221,0,1,0
26827,24220,0,2,0
41630,24221,0,1,0
22695,24220,0,2,0
27265,24219,0,3,0
45,24221,0,1,0
32092,24221,0,1,0
15928,24221,0,1,0
26437,24220,0,2,0
31473,24220,0,2,0
35169,24221,0,1,0
8270,24221,0,1,0
14593,24221,0,1,0
29846,24220,0,2,0
9531,24221,0,1,0
17911,24221,0,1,0
39395,24220,0,2,0
8283,24218,0,4,0
12177,24220,0,2,0
41163,24220,0,2,0
19675,24221,0,1,0
9644,24220,0,2,0
41316,24220,1,1,0
24574,24220,0,2,0
12488,24221,0,1,0
9546,24221,0,1,0
36555,24220,0,2,0
2052,24220,0,2,0
34921,24221,0,1,0
15577,24216,4,1,1
33606,24220,0,2,0
40080,24220,0,2,0
26735,24221,0,1,0
29136,24219,0,3,0
12854,24220,0,2,0
33472,24217,0,4,1
20980,24220,0,2,0
36117,24219,0,3,0
18151,24220,0,2,0
1982,24218,3,1,0
19918,24221,0,1,0
22746,24220,0,2,0
35747,24221,0,1,0
24078,24221,0,1,0
30289,24221,0,1,0
36144,24221,0,1,0
7723,24220,0,2,0
19255,24221,0,1,0
24333,24220,0,2,0
33362,24220,1,1,0
30398,24219,1,2,0
32650,24220,0,2,0
31428,24220,0,2,0
35417,24221,0,1,0
9950,24210,11,1,0
15271,24219,0,3,0
14071,24221,0,1,0
19582,24221,0,1,0
25628,24220,0,2,0
12264,24220,0,2,0
25847,24216,3,3,0
31245,24221,0,1,0
35158,24221,0,1,0
23392,24220,0,2,0
36025,24220,1,1,0
23910,24220,1,1,0
33318,24221,0,1,0
23830,24221,0,1,0
31888,24221,0,1,0
19123,24220,0,2,0
18291,24219,0,3,0
34193,24221,0,1,0
39023,24221,0,1,0
9142,24221,0,1,0
7965,24221,0,1,0
9242,24220,0,2,0
16317,24218,1,3,0
34150,24221,0,1,0
7642,24219,2,1,0
41796,24221,0,1,0
24250,24221,0,1,0
23670,24221,0,1,0
27212,24220,0,2,0
3297,24220,0,2,0
30241,24220,0,2,0
36095,24221,0,1,0
30962,24219,0,3,0
18930,24220,0,2,0
27681,24221,0,1,0
2854,24149,71,1,1
40183,24220,0,2,0
15829,24221,0,1,0
15830,24204,9,6,3
14810,24220,0,2,0
9172,24221,0,1,0
22832,24221,0,1,0
22076,24220,0,2,0
34602,24220,0,2,0
20560,24221,0,1,0
36828,24220,0,2,0
16430,24221,0,1,0
29299,24219,0,3,0
12987,24220,0,2,0
4775,24186,30,5,1
16787,24219,0,3,0
32726,24220,0,2,0
33269,24221,0,1,0
28699,24221,0,1,0
12184,24220,0,2,0
12693,24216,3,3,0
1682,24220,0,2,0
34179,24221,0,1,0
16247,24218,1,3,0
17728,24221,0,1,0
721,24114,106,2,0
34867,24220,0,2,0
19897,24220,0,2,0
14744,24199,17,6,0
23995,24216,1,5,0
30123,24221,0,1,0
35164,24221,0,1,0
32208,24220,0,2,0
20513,24221,0,1,0
19637,24220,0,2,0
39000,24221,0,1,0
9069,24221,0,1,0
10027,24220,0,2,0
41641,24220,0,2,0
14617,24220,0,2,0
29415,24216,3,3,0
16471,24218,3,1,0
36142,24220,0,2,0
35834,24220,0,2,0
5763,24221,0,1,0
18426,24219,0,3,0
38096,24221,0,1,0
20105,24220,0,2,0
24345,24220,0,2,0
40243,24221,0,1,0
30269,24220,0,2,0
13805,24221,0,1,0
13821,24218,0,4,0
28624,24221,0,1,0
24158,24220,0,2,0
20808,24220,0,2,0
9238,24218,3,1,0
