asn,peer_count,provider_count,customer_count,sibling_count
39138,2967,0,1,0
32491,2967,0,1,0
35470,2966,0,2,0
51941,2967,0,1,0
8419,2966,0,2,0
36492,2967,0,1,0
20712,2967,0,1,0
27357,2966,0,2,0
30259,2967,0,1,0
16866,2967,0,1,0
1351,2967,0,1,0
55364,2967,0,1,0
50007,2967,0,1,0
31732,2966,0,2,0
8356,2967,0,1,0
25542,2966,0,2,0
15474,2967,0,1,0
42708,2963,2,3,0
31753,2967,0,1,0
6406,2967,0,1,0
12731,2962,2,4,0
42585,2966,0,2,0
11170,2967,0,1,0
22394,2967,0,1,0
24005,2967,0,1,0
49102,2966,0,2,0
39817,2967,0,1,0
19506,2967,0,1,0
5607,2967,0,1,0
13042,2967,0,1,0
15982,2967,0,1,0
15879,2963,2,3,0
30023,2967,0,1,0
50391,2967,0,1,0
22925,2967,0,1,0
41589,2967,0,1,0
50295,2967,0,1,0
10405,2967,0,1,0
10533,2966,0,2,0
7668,2966,1,1,0
39326,2953,11,4,0
33936,2967,0,1,0
8804,2965,0,3,0
50066,2966,1,1,0
49503,2967,0,1,0
701,2947,16,4,1
29462,2967,0,1,0
28338,2967,0,1,0
15965,2967,0,1,0
21385,2962,2,3,1
10490,2961,4,3,0
3303,2956,9,3,0
7667,2966,0,2,0
20783,2967,0,1,0
30583,2967,0,1,0
2914,2814,149,4,1
35994,2966,0,2,0
46562,2967,0,1,0
8972,2966,0,2,0
20884,2967,0,1,0
28768,2967,0,1,0
47490,2967,0,1,0
43070,2967,0,1,0
35028,2966,0,2,0
49788,2966,0,2,0
9896,2967,0,1,0
27792,2967,0,1,0
11274,2965,1,2,0
24006,2967,0,1,0
10598,2967,0,1,0
11403,2966,0,2,0
6734,2967,0,1,0
8386,2967,0,1,0
3597,2966,1,1,0
39134,2967,0,1,0
9431,2966,0,2,0
2907,2962,3,2,1
719,2965,1,2,0
13058,2966,1,1,0
24953,2967,0,1,0
16406,2967,0,1,0
2521,2967,0,1,0
9063,2963,2,3,0
9824,2967,0,1,0
9374,2967,0,1,0
52,2966,0,2,0
28606,2967,0,1,0
6785,2966,1,1,0
24867,2967,0,1,0
23504,2966,0,2,0
34968,2965,1,2,0
39102,2967,0,1,0
51801,2967,0,1,0
35244,2966,1,1,0
31027,2962,3,3,0
48519,2966,0,2,0
8890,2967,0,1,0
44136,2967,0,1,0
34661,2967,0,1,0
9482,2964,3,1,0
42755,2967,0,1,0
41960,2966,0,2,0
32,2967,0,1,0
5400,2959,5,4,0
7575,2961,4,3,0
41552,2966,0,2,0
3267,2955,11,2,0
29278,2965,2,1,0
29470,2967,0,1,0
12452,2967,0,1,0
25164,2967,0,1,0
51405,2967,0,1,0
45081,2967,0,1,0
50300,2967,0,1,0
27859,2967,0,1,0
39628,2966,0,2,0
18747,2966,1,1,0
32609,2965,2,1,0
31621,2967,0,1,0
32514,2967,0,1,0
1887,2967,0,1,0
15835,2964,2,2,0
49420,2967,0,1,0
12767,2965,0,3,0
8330,2967,0,1,0
9304,2964,3,1,0
12657,2967,0,1,0
7992,2966,0,2,0
16237,2965,0,3,0
15706,2967,0,1,0
17149,2967,0,1,0
11096,2964,2,2,0
17955,2965,1,2,0
40528,2965,1,2,0
53070,2967,0,1,0
16160,2967,0,1,0
28561,2967,0,1,0
24321,2967,0,1,0
5537,2964,1,3,0
4711,2967,0,1,0
4657,2964,2,2,0
3356,2885,78,5,0
30142,2967,0,1,0
20825,2967,0,1,0
13062,2967,0,1,0
21392,2964,1,3,0
45420,2967,0,1,0
43782,2966,0,2,0
12322,2965,0,3,0
6503,2967,0,1,0
18666,2967,0,1,0
13000,2967,0,1,0
3943,2965,0,3,0
7615,2967,0,1,0
45772,2967,0,1,0
7604,2967,0,1,0
39250,2967,0,1,0
43383,2966,0,2,0
2200,2965,1,2,0
3949,2967,0,1,0
9541,2966,0,2,0
9153,2965,1,2,0
19024,2964,1,3,0
4270,2964,2,2,0
1955,2965,1,2,0
5466,2967,0,1,0
23889,2967,0,1,0
4829,2967,0,1,0
12008,2965,0,3,0
21232,2967,0,1,0
24226,2966,0,2,0
11796,2967,0,1,0
28259,2967,0,1,0
30160,2966,0,2,0
13103,2967,0,1,0
35548,2967,0,1,0
7474,2967,0,1,0
27008,2967,0,1,0
23910,2962,5,1,0
26,2966,0,2,0
13284,2965,1,2,0
48039,2967,0,1,0
8551,2966,0,2,0
34655,2967,0,1,0
30059,2965,1,2,0
39912,2962,4,2,0
41075,2965,0,3,0
8823,2967,0,1,0
45170,2966,0,2,0
29686,2966,0,2,0
43148,2967,0,1,0
2819,2966,0,2,0
12488,2966,0,2,0
3344,2965,1,2,0
23899,2966,1,1,0
29169,2964,1,3,0
46176,2967,0,1,0
43205,2967,0,1,0
26599,2967,0,1,0
19624,2966,0,2,0
8286,2967,0,1,0
23352,2966,1,1,0
33915,2965,0,3,0
47264,2966,0,2,0
10030,2967,0,1,0
30740,2966,0,2,0
6083,2965,1,2,0
34442,2967,0,1,0
46357,2967,0,1,0
39637,2964,1,3,0
49640,2967,0,1,0
42369,2967,0,1,0
43832,2967,0,1,0
7670,2964,2,2,0
7514,2967,0,1,0
38743,2967,0,1,0
15772,2967,0,1,0
31677,2966,0,2,0
8866,2966,0,2,0
28747,2966,0,2,0
31416,2967,0,1,0
10578,2958,8,1,1
10084,2966,1,1,0
35366,2965,0,3,0
43313,2967,0,1,0
17579,2961,3,3,1
7018,2957,7,4,0
25473,2966,1,1,0
15003,2966,0,2,0
28360,2967,0,1,0
28847,2967,0,1,0
23308,2966,0,2,0
18786,2967,0,1,0
13448,2967,0,1,0
11847,2967,0,1,0
39545,2967,0,1,0
33236,2967,0,1,0
13576,2967,0,1,0
32701,2967,0,1,0
21083,2967,0,1,0
6830,2962,1,5,0
29791,2964,0,4,0
3714,2967,0,1,0
15395,2966,0,2,0
48885,2966,0,2,0
43333,2967,0,1,0
47262,2967,0,1,0
15614,2966,0,2,0
43843,2967,0,1,0
45456,2967,0,1,0
30217,2967,0,1,0
21976,2965,1,2,0
24130,2963,4,1,0
55818,2965,2,1,0
46475,2967,0,1,0
17920,2967,0,1,0
29671,2965,0,3,0
21263,2965,0,3,0
24176,2967,0,1,0
4555,2967,0,1,0
42605,2965,0,3,0
30688,2966,0,2,0
21107,2967,0,1,0
28886,2967,0,1,0
25318,2967,0,1,0
197036,2967,0,1,0
19151,2956,9,3,0
50458,2967,0,1,0
7568,2964,1,3,0
34146,2966,0,2,0
13156,2967,0,1,0
24220,2967,0,1,0
11457,2967,0,1,0
23342,2964,2,2,0
17529,2964,1,3,0
43679,2966,0,2,0
1653,2965,1,2,0
43751,2966,1,1,0
28307,2967,0,1,0
9931,2965,2,1,0
12476,2967,0,1,0
13326,2967,0,1,0
197219,2965,0,3,0
35254,2964,1,3,0
32978,2967,0,1,0
5381,2964,2,2,0
18404,2967,0,1,0
26531,2966,0,2,0
46925,2967,0,1,0
36483,2967,0,1,0
51827,2967,0,1,0
34623,2967,0,1,0
29003,2967,0,1,0
209,2946,19,3,0
35393,2966,0,2,0
39780,2966,0,2,0
40630,2966,0,2,0
5410,2965,0,3,0
5491,2966,0,2,0
29432,2967,0,1,0
45689,2967,0,1,0
21719,2967,0,1,0
34109,2967,0,1,0
48484,2966,0,2,0
197307,2967,0,1,0
49594,2967,0,1,0
45695,2967,0,1,0
15570,2965,1,2,0
12931,2967,0,1,0
42017,2967,0,1,0
30811,2965,0,3,0
31334,2964,0,4,0
45187,2967,0,1,0
22829,2965,0,3,0
11758,2967,0,1,0
24776,2966,0,2,0
558,2967,0,1,0
41884,2966,0,2,0
35627,2965,1,2,0
28716,2966,1,1,0
36383,2966,0,2,0
32915,2967,0,1,0
5407,2966,0,2,0
38322,2967,0,1,0
51344,2967,0,1,0
196727,2967,0,1,0
6736,2967,0,1,0
2033,2967,0,1,0
36850,2967,0,1,0
41323,2967,0,1,0
12041,2960,0,8,0
36295,2967,0,1,0
20626,2967,0,1,0
18750,2967,0,1,0
25459,2965,0,3,0
5560,2967,0,1,0
14277,2965,0,3,0
24475,2965,1,1,1
46440,2967,0,1,0
25829,2967,0,1,0
30950,2966,1,1,0
