asn,peer_count,provider_count,customer_count,sibling_count
8501,832,9,1,0
6057,840,1,1,0
11990,841,0,1,0
28725,841,0,1,0
7377,841,0,1,0
65104,841,0,1,0
14259,840,0,2,0
6666,837,2,3,0
10405,841,0,1,0
21548,841,0,1,0
8495,841,0,1,0
28792,840,0,2,0
1797,840,0,2,0
12702,828,10,4,0
6706,839,1,2,0
7522,840,0,2,0
18508,840,0,2,0
10886,833,6,3,0
1103,836,3,3,0
3292,838,2,2,0
25152,840,0,2,0
2515,841,0,1,0
3134,841,0,1,0
10490,839,2,1,0
2714,841,0,1,0
12757,841,0,1,0
3327,837,2,3,0
15694,841,0,1,0
4685,840,0,2,0
3213,839,1,2,0
40009,840,0,2,0
12989,839,0,3,0
1200,838,0,4,0
20621,841,0,1,0
4651,835,5,2,0
24586,841,0,1,0
16397,841,0,1,0
34419,837,2,3,0
19783,841,0,1,0
34505,841,0,1,0
12968,841,0,1,0
13855,841,0,1,0
284,840,1,1,0
16117,841,0,1,0
12931,839,1,2,0
7786,840,0,2,0
3344,830,10,2,0
2107,841,0,1,0
12502,841,0,1,0
29372,841,0,1,0
18182,841,0,1,0
16086,837,2,3,0
3,841,0,1,0
3320,838,1,3,0
293,839,0,3,0
8737,840,0,2,0
18344,840,1,1,0
2519,839,1,2,0
6730,839,1,2,0
22548,840,0,2,0
38140,841,0,1,0
34288,841,0,1,0
6536,841,0,1,0
11656,841,0,1,0
23910,838,2,2,0
4134,841,0,1,0
4750,841,0,1,0
35627,841,0,1,0
23966,841,0,1,0
24005,841,0,1,0
2884,842,0,0,0
38022,836,5,1,0
6366,841,0,1,0
2018,840,0,2,0
9737,841,0,1,0
1213,839,1,2,0
30983,841,0,1,0
30217,841,0,1,0
41075,841,0,1,0
8469,839,1,2,0
35003,841,0,1,0
27576,841,0,1,0
4761,837,1,4,0
16128,839,0,3,0
28678,841,0,1,0
25588,841,0,1,0
2381,840,0,2,0
8481,841,0,1,0
35246,841,0,1,0
23912,841,0,1,0
1280,827,9,6,0
2852,840,0,2,0
2857,840,0,2,0
8422,840,0,2,0
16807,841,0,1,0
27807,836,4,2,0
24,837,2,3,0
27841,841,0,1,0
18011,841,0,1,0
24211,841,0,1,0
9901,838,2,2,0
5050,840,1,1,0
24475,840,0,0,2
6667,834,4,4,0
12816,841,0,1,0
5400,841,0,1,0
12779,834,6,2,0
12853,841,0,1,0
20633,840,0,2,0
18266,841,0,1,0
15501,841,0,1,0
9153,840,1,1,0
8954,841,0,1,0
15169,841,0,1,0
20021,841,0,1,0
4780,840,0,2,0
7949,840,0,2,0
15744,841,0,1,0
29452,841,0,1,0
5430,837,2,3,0
3333,841,0,1,0
3221,841,0,1,0
2847,841,0,1,0
24311,841,0,1,0
35244,840,0,2,0
16276,840,0,2,0
210,841,0,1,0
81,841,0,1,0
32034,838,1,3,0
28857,840,0,2,0
31127,841,0,1,0
1835,841,0,1,0
18666,840,0,2,0
8881,840,0,2,0
3662,841,0,1,0
5381,840,0,2,0
15412,839,1,2,0
29636,840,0,2,0
15480,841,0,1,0
25232,841,0,1,0
6453,799,39,4,0
5413,841,0,1,0
23541,840,0,2,0
5385,840,1,1,0
3301,838,3,1,0
10217,841,0,1,0
7514,838,1,3,0
1887,841,0,1,0
2153,835,3,4,0
5511,834,5,3,0
4770,840,0,2,0
20569,840,0,2,0
2506,841,0,1,0
13319,841,0,1,0
19318,840,1,1,0
3825,841,0,1,0
18422,841,0,1,0
4755,841,0,1,0
20436,841,0,1,0
1140,841,0,1,0
8758,841,0,1,0
16206,841,0,1,0
15474,841,0,1,0
4677,841,0,1,0
65098,841,0,1,0
8895,841,0,1,0
29134,841,0,1,0
33891,838,1,3,0
7693,841,0,1,0
14037,841,0,1,0
14085,840,1,1,0
12657,840,1,1,0
3356,808,29,3,2
701,833,6,3,0
29259,840,0,2,0
7687,841,0,1,0
18366,840,0,2,0
8897,840,0,2,0
9794,841,0,1,0
6802,840,1,1,0
26978,840,0,2,0
6966,840,1,1,0
4829,841,0,1,0
2500,806,32,0,4
57,839,1,2,0
43821,840,0,2,0
8396,841,0,1,0
3249,839,2,1,0
41692,791,49,0,2
27,841,0,1,0
766,838,1,3,0
24425,841,0,1,0
2698,840,1,1,0
12414,840,0,2,0
36856,840,0,2,0
17717,841,0,1,0
10013,840,0,2,0
271,842,0,0,0
41773,841,0,1,0
27686,841,0,1,0
17527,841,0,1,0
790,840,1,1,0
20745,841,0,1,0
5486,841,0,1,0
42096,841,0,1,0
12637,840,1,1,0
15469,841,0,1,0
2527,839,0,3,0
6762,836,4,2,0
9595,841,0,1,0
24226,840,0,2,0
29449,841,0,1,0
28878,841,0,1,0
2907,839,0,3,0
8560,840,0,2,0
